movie_id,title,tagline,release_date
211672,Minions,"Before Gru, they had a history of bad bosses",2015-06-17
157336,Interstellar,Mankind was born on Earth. It was never meant to die here.,2014-11-05
293660,Deadpool,Witness the beginning of a happy ending,2016-02-09
118340,Guardians of the Galaxy,All heroes start somewhere.,2014-07-30
76341,Mad Max: Fury Road,What a Lovely Day.,2015-05-13
135397,Jurassic World,The park is open.,2015-06-09
22,Pirates of the Caribbean: The Curse of the Black Pearl,Prepare to be blown out of the water.,2003-07-09
119450,Dawn of the Planet of the Apes,One last chance for peace.,2014-06-26
131631,The Hunger Games: Mockingjay - Part 1,Fire burns brighter in the darkness,2014-11-18
177572,Big Hero 6,From the creators of Wreck-it Ralph and Frozen,2014-10-24
87101,Terminator Genisys,Reset the future,2015-06-23
271110,Captain America: Civil War,Divided We Fall,2016-04-27
244786,Whiplash,The road to greatness can take you to the edge.,2014-10-10
155,The Dark Knight,Why So Serious?,2008-07-16
286217,The Martian,Bring Him Home,2015-09-30
27205,Inception,Your mind is the scene of the crime.,2010-07-14
109445,Frozen,Only the act of true love will thaw a frozen heart.,2013-11-27
209112,Batman v Superman: Dawn of Justice,Justice or revenge,2016-03-23
19995,Avatar,Enter the World of Pandora.,2009-12-10
550,Fight Club,Mischief. Mayhem. Soap.,1999-10-15
58,Pirates of the Caribbean: Dead Man's Chest,Jack is back!,2006-06-20
205596,The Imitation Game,The true enigma was the man who cracked the code.,2014-11-14
24428,The Avengers,Some assembly required.,2012-04-25
238,The Godfather,An offer you can't refuse.,1972-03-14
98566,Teenage Mutant Ninja Turtles,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,2014-08-07
210577,Gone Girl,You don't know what you've got 'til it's...,2014-10-01
257344,Pixels,Game On.,2015-07-16
228150,Fury,War never ends quietly.,2014-10-15
246655,X-Men: Apocalypse,Only the strong will survive,2016-05-18
285,Pirates of the Caribbean: At World's End,"At the end of the world, the adventure begins.",2007-05-19
61791,Rise of the Planet of the Apes,Evolution Becomes Revolution.,2011-08-03
13,Forrest Gump,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",1994-07-06
120,The Lord of the Rings: The Fellowship of the Ring,One ring to rule them all,2001-12-18
93456,Despicable Me 2,Back 2 Work,2013-06-25
278,The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.,1994-09-23
1865,Pirates of the Caribbean: On Stranger Tides,Live Forever Or Die Trying.,2011-05-14
99861,Avengers: Age of Ultron,A New Age Has Come.,2015-04-22
672,Harry Potter and the Chamber of Secrets,Hogwarts is back in session.,2002-11-13
198663,The Maze Runner,Run - Remember - Survive,2014-09-10
158852,Tomorrowland,Imagine a world where nothing is impossible.,2015-05-19
150540,Inside Out,Meet the little voices inside your head.,2015-06-09
510,One Flew Over the Cuckoo's Nest,"If he's crazy, what does that make you?",1975-11-18
131634,The Hunger Games: Mockingjay - Part 2,The fire will burn forever.,2015-11-18
8966,Twilight,"When you can live forever, what do you live for?",2008-11-20
11,Star Wars,"A long time ago in a galaxy far, far away...",1977-05-25
62177,Brave,Change your fate.,2012-06-21
122,The Lord of the Rings: The Return of the King,The eye of the enemy is moving.,2003-12-01
680,Pulp Fiction,Just because you are a character doesn't mean you have character.,1994-10-08
122917,The Hobbit: The Battle of the Five Armies,Witness the defining chapter of the Middle-Earth saga,2014-12-10
1726,Iron Man,Heroes aren't born. They're built.,2008-04-30
